0     DEBUG [main] org.scriptinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.scriptinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [TaskPoolSize=5]
125   INFO  [main] org.scriptinsight.proxy.RequestListenerThread - Serving with pool size: 5
125   INFO  [main] org.scriptinsight.proxy.InsightProxyMain -  -------------- Script Insight Proxy -------------- 
125   INFO  [Thread-0] org.scriptinsight.proxy.RequestListenerThread - Listening on port 2554
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/index.jsp]
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10062 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSP/2.1
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Set-Cookie: JSESSIONID=35af514a0b130008c819be1206c4; Path=/petstore
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/html;charset=UTF-8
10078 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/tag.css]
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/css,*/*;q=0.1
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"1140-1240293441187"
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:21 GMT
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/css;charset=ISO-8859-1
10140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/styles.css]
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
