0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
250   INFO  [main] org.fireinsight.proxy.RequestListenerThread - Serving with pool size: 20
250   INFO  [main] org.fireinsight.proxy.InsightProxyMain -  -------------- Script Insight Proxy -------------- 
250   INFO  [Thread-0] org.fireinsight.proxy.RequestListenerThread - Listening on port 2554
29563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >> Request [http://download.mozilla.org/?product=firefox-3.0.17-complete&os=win&lang=en-US]
29563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 302 Found
29578 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
29578 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
29578 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Host: download.mozilla.org
29578 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Range: bytes=2400000-2699999
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:09:49 GMT
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: dmo=10.2.84.4.1265875789398751; path=/; expires=Fri, 11-Feb-11 08:09:49 GMT
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: PHP/5.1.6
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0, private
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Pragma: no-cache
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Location: http://ftp.jaist.ac.jp/pub/mozilla.org/firefox/releases/3.0.17/update/win32/en-US/firefox-3.0.17.complete.mar
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=983
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
29594 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html; charset=UTF-8
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >> Request [http://ftp.jaist.ac.jp/pub/mozilla.org/firefox/releases/3.0.17/update/win32/en-US/firefox-3.0.17.complete.mar]
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 206 Partial Content
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Host: ftp.jaist.ac.jp
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
30031 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Range: bytes=2400000-2699999
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:09:44 GMT
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Server: Apache/2.2.14 (Unix)
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 22 Dec 2009 10:21:37 GMT
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                ETag: "925-96e79d-47b4e922e0e40"
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Content-Range: bytes 2400000-2699999/9889693
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Connection: close
30047 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/octet-stream
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/index.jsp]
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
